"filename", "language", "HTML", "JavaScript JSX", "JavaScript", "CSS", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\lib\supabaseClient.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\ChatDetails.jsx", "JavaScript JSX", 0, 127, 0, 0, 0, 0, 0, 4, 19, 150
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\Chats.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 0, 0, 0, 13, 77
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\Login.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 10, 80
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\ProfilePage.jsx", "JavaScript JSX", 0, 122, 0, 0, 0, 0, 0, 9, 24, 155
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\ProjectDetail.jsx", "JavaScript JSX", 0, 93, 0, 0, 0, 0, 0, 2, 14, 109
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\Projects.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\Register.jsx", "JavaScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 10, 78
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\TeamCreate.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\TeamDetail.jsx", "JavaScript JSX", 0, 114, 0, 0, 0, 0, 0, 3, 19, 136
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\TeamsPage.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 1, 9, 65
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\src\pages\Transactions.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\tailwind.config.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 1, 1, 13
"c:\Users\maxwi\OneDrive\Documents\Projekte\Side_Hustle_Tracker\side-hustle-tracker\vite.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"Total", "-", 13, 2133, 62, 46, 2, 3950, 7, 33, 328, 6574
